Company Name,Rating,Reviews,Domain,Location,Bad Review,Review Count,Salary Count,Interview Count,Job Count,Benefit Count,Photo Count
TCS,3.3,1.2L,IT Services & Consulting,Bengaluru +445 other locations,Job Security,1.2L,10.2L,11.4k,4.7k,10.8k,93
Accenture,3.7,74.2k,IT Services & Consulting,Bengaluru +259 other locations,"Promotions, Salary, Work Satisfaction",74.2k,7.1L,9.4k,36.9k,6.8k,49
Wipro,3.6,65.6k,IT Services & Consulting,Hyderabad +374 other locations,"Promotions, Salary, Work Satisfaction",65.6k,4.9L,6.9k,326,4.8k,114
Cognizant,3.7,62k,IT Services & Consulting,Hyderabad +233 other locations,"Promotions, Salary, Work Satisfaction",62k,6.1L,6.5k,702,5.6k,102
Capgemini,3.6,54k,IT Services & Consulting,Bengaluru +183 other locations,"Work Life Balance, Job Security",54k,4.9L,5.6k,2.3k,3.8k,42
HDFC Bank,3.8,53k,Banking,Mumbai +1856 other locations,"Job Security, Skill Development",53k,1.5L,3.1k,327,3.4k,92
Infosys,3.5,49.3k,IT Services & Consulting,Bengaluru +246 other locations,Job Security,49.3k,5.3L,8.5k,2.6k,4.9k,120
HCLTech,3.4,46.4k,IT Services & Consulting,Chennai +231 other locations,"Promotions, Salary, Work Satisfaction",46.4k,3.9L,4.6k,315,3.9k,71
ICICI Bank,3.9,46.3k,Banking,Mumbai +1446 other locations,"Job Security, Promotions, Skill Development",46.3k,1.5L,3k,10,3.8k,73
Tech Mahindra,3.4,43.7k,IT Services & Consulting,Hyderabad +323 other locations,"Promotions, Salary, Work Satisfaction",43.7k,2.9L,4.6k,633,3.4k,79
Genpact,3.6,42.8k,Analytics & KPO,Hyderabad +181 other locations,Job Security,42.8k,2.4L,3.9k,605,3.6k,66
TP,3.9,39k,BPO,Mumbai +256 other locations,"Work Life Balance, Job Security, Skill Development",39k,100k,2.3k,1.6k,1.9k,38
Jio,4.4,33.8k,Telecom,Mumbai +1961 other locations,"Job Security, Skill Development, Company Culture",33.8k,62.1k,4.5k,--,2.6k,93
Axis Bank,3.6,33.6k,Banking,Mumbai +1524 other locations,"Promotions, Work Satisfaction, Company Culture",33.6k,1L,2k,256,2.2k,121
Concentrix Corporation,3.6,32.5k,BPO,Bengaluru +184 other locations,Job Security,32.5k,1.3L,2k,15,3.2k,67
Amazon,3.9,31.7k,Internet,Bengaluru +517 other locations,"Company Culture, Work Life Balance, Salary",31.7k,1.6L,6k,70,3.7k,95
Reliance Retail,3.9,27.5k,Retail,Mumbai +1165 other locations,"Job Security, Skill Development, Work Life Balance",27.5k,74.2k,2k,106,1.9k,142
iEnergizer,4.6,27.3k,BPO,Noida +53 other locations,"Salary, Company Culture, Work Life Balance",27.3k,24.9k,1.6k,96,567,29
LTIMindtree,3.6,26.7k,IT Services & Consulting,Bengaluru +145 other locations,"Promotions, Salary, Work Satisfaction",26.7k,2L,3.5k,539,813,34
IBM,3.9,25.9k,IT Services & Consulting,Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",25.9k,2.2L,2.6k,1.6k,2.6k,23
HDB Financial Services,3.9,25.9k,NBFC,Mumbai +1096 other locations,"Job Security, Skill Development",25.9k,49.1k,1.1k,10,1.5k,73
Larsen & Toubro Limited,3.9,24.1k,Engineering & Construction,Chennai +775 other locations,"Job Security, Skill Development, Salary",24.1k,76.9k,1.9k,294,2.6k,68
Deloitte,3.6,23.5k,Management Consulting,Hyderabad +184 other locations,"Promotions, Work Life Balance, Work Satisfaction",23.5k,2.7L,3.4k,288,2.5k,19
Kotak Mahindra Bank,3.6,22.7k,Banking,Mumbai +692 other locations,"Promotions, Work Satisfaction, Company Culture",22.7k,87.6k,1.4k,143,1.3k,45
Reliance Industries,4.0,20.4k,Oil & Gas,Jamnagar +822 other locations,"Job Security, Work Life Balance, Skill Development",20.4k,74.7k,1.6k,66,1.9k,38
Vodafone Idea,3.9,17.7k,Telecom,Pune +707 other locations,"Salary, Company Culture, Work Life Balance",17.7k,48.9k,700,84,2k,23
Bharti Airtel,3.8,17.2k,Telecom,Gurugram +796 other locations,Promotions,17.2k,50.7k,1.1k,209,1.6k,101
BYJU'S,3.2,16.4k,EdTech,Bengaluru +321 other locations,"Job Security, Company Culture, Work Life Balance",16.4k,50.1k,2.1k,1,1.7k,28
WNS,3.3,15.4k,IT Services & Consulting,Pune +66 other locations,"Promotions, Salary, Work Satisfaction",15.4k,71.3k,1.3k,79,1.4k,24
IDFC FIRST Bank,3.9,14.8k,Banking,Mumbai +735 other locations,"Salary, Work Life Balance, Skill Development",14.8k,50.5k,996,47,780,96
Ernst & Young,3.4,14.8k,Management Consulting,Bengaluru +135 other locations,"Promotions, Work Life Balance, Work Satisfaction",14.8k,1.5L,1.4k,4.3k,1.1k,10
IndusInd Bank,3.4,14.4k,Banking,Mumbai +799 other locations,"Promotions, Company Culture, Work Satisfaction",14.4k,52.3k,782,151,837,16
AU Small Finance Bank,3.8,14.4k,Banking,Jaipur +805 other locations,Salary,14.4k,30k,716,216,611,28
Tata Motors,4.1,14.3k,Automobile,Pune +506 other locations,"Job Security, Company Culture, Work Life Balance",14.3k,43.3k,1.3k,215,1.6k,45
Bajaj Finserv,4.0,13.3k,NBFC,Pune +1207 other locations,"Salary, Skill Development, Job Security",13.3k,31.7k,789,3,751,19
Muthoot FinCorp,4.5,13.2k,NBFC,Bengaluru +1123 other locations,"Company Culture, Work Life Balance, Job Security",13.2k,9.6k,2.4k,45,291,103
Flipkart,3.9,13.1k,Internet,Bengaluru +555 other locations,"Skill Development, Salary",13.1k,56.7k,1.7k,152,1.4k,109
PwC,3.3,12.8k,Management Consulting,Bengaluru +137 other locations,"Promotions, Work Life Balance, Work Satisfaction",12.8k,1.3L,1.6k,972,857,24
HDFC Life,3.8,12.2k,Insurance,Mumbai +718 other locations,Skill Development,12.2k,33.6k,821,125,642,60
Infosys BPM,3.5,12.2k,BPO,Bengaluru +95 other locations,Job Security,12.2k,77.6k,1.1k,70,1.1k,8
Mahindra & Mahindra,4.0,12.2k,Automobile,Pune +568 other locations,"Job Security, Skill Development, Company Culture",12.2k,41.2k,889,7,1.2k,19
DXC Technology,3.6,12.1k,IT Services & Consulting,Bengaluru +131 other locations,Work Life Balance,12.1k,75.4k,906,201,1.1k,9
Bandhan Bank,3.7,11.3k,Banking,Kolkata +1018 other locations,"Promotions, Work Satisfaction, Skill Development",11.3k,25.8k,772,1,561,44
Digitide Solutions,3.5,10.4k,IT Services & Consulting,Hyderabad +274 other locations,"Promotions, Salary, Work Satisfaction",10.4k,27.2k,581,353,787,47
Mphasis,3.3,10.3k,IT Services & Consulting,Bengaluru +63 other locations,"Promotions, Salary, Work Satisfaction",10.3k,75.1k,943,79,868,133
Yes Bank,3.7,10.3k,Banking,Mumbai +543 other locations,"Job Security, Promotions, Company Culture",10.3k,43.1k,568,225,640,18
Tata Steel,4.0,10k,Iron & Steel,Jamshedpur +228 other locations,"Work Life Balance, Job Security, Company Culture",10k,34.7k,1.1k,--,680,52
Quess,3.8,9.8k,Recruitment,Bengaluru +758 other locations,"Promotions, Job Security",9.8k,31.5k,550,52,463,23
Asian Paints,3.9,9.7k,Chemicals,Mumbai +558 other locations,"Salary, Skill Development, Job Security",9.7k,26.4k,884,95,925,36
Maruti Suzuki,4.1,9.6k,Automobile,Gurugram +458 other locations,"Job Security, Salary, Skill Development",9.6k,28.9k,803,97,1.1k,25
Startek,3.0,9.6k,BPO,Bengaluru +104 other locations,"Promotions, Work Satisfaction, Salary",9.6k,24.9k,656,285,697,16
UltraTech Cement,4.1,9.6k,Building Material,Mumbai +541 other locations,"Job Security, Skill Development, Company Culture",9.6k,25.1k,820,68,648,47
Paytm,3.2,9.4k,FinTech,Noida +428 other locations,"Job Security, Promotions, Company Culture",9.4k,34.6k,906,835,604,24
Bajaj Finance,3.9,9.3k,NBFC,Pune +1002 other locations,"Salary, Skill Development, Job Security",9.3k,23.7k,456,6.9k,533,16
Shriram Finance,3.9,9.2k,NBFC,Chennai +1122 other locations,"Job Security, Company Culture, Work Life Balance",9.2k,15.9k,460,4,48,46
Sutherland Global Services,3.4,9.1k,BPO,Chennai +82 other locations,"Promotions, Work Satisfaction, Skill Development",9.1k,36.1k,812,338,923,30
Equitas Small Finance Bank,4.3,8.9k,Banking,Chennai +486 other locations,"Job Security, Company Culture, Work Life Balance",8.9k,13.8k,1k,33,420,43
Wells Fargo,3.6,8.8k,Financial Services,Bengaluru +27 other locations,Work Life Balance,8.8k,63.7k,700,331,873,13
EXL Service,3.6,8.7k,Analytics & KPO,Noida +61 other locations,Job Security,8.7k,45.7k,931,86,816,20
Cipla,4.1,8.7k,Pharma,Mumbai +296 other locations,"Salary, Work Life Balance, Skill Development",8.7k,26.7k,608,34,881,20
Ericsson,3.9,8.5k,Telecom,Noida +161 other locations,"Work Life Balance, Company Culture",8.5k,42.9k,478,65,1k,17
Samsung,3.9,8.4k,Consumer Electronics & Appliances,Noida +582 other locations,Salary,8.4k,26.4k,637,52,534,16
Dr. Reddy's,4.0,8.3k,Pharma,Hyderabad +215 other locations,"Company Culture, Work Life Balance, Skill Development",8.3k,26k,528,42,756,30
Optum Global Solutions,4.0,8.1k,IT Services & Consulting,Hyderabad +69 other locations,"Job Security, Work Life Balance, Company Culture",8.1k,51.5k,787,332,710,2
JSW Steel,3.9,8k,Iron & Steel,Ballari +199 other locations,"Job Security, Skill Development",8k,32k,860,126,633,32
JPMorgan Chase & Co.,3.8,7.9k,Financial Services,Bengaluru +56 other locations,Job Security,7.9k,92.3k,891,489,867,14
Delhivery,3.7,7.9k,Logistics,Gurugram +765 other locations,Promotions,7.9k,22.3k,624,306,672,71
Coforge,3.3,7.9k,IT Services & Consulting,Hyderabad +106 other locations,"Promotions, Work Satisfaction, Skill Development",7.9k,58.6k,845,236,359,102
